EBAY,YHOO
34.389999,17.700001
33.639998,18.139999
33.539998,17.92
33.01,18.200001
32.679999,18.43
32.719999,18.65
33.119999,18.559999
33.929999,18.549999
33.31,17.200001
33.579999,17.17
33.569999,16.549999
32.369999,15.81
32.65,16.0
32.879999,15.96
32.9,16.35
32.479997999999995,16.299999
31.629998,16.059998999999998
30.819998,16.139999
30.699999,16.15
30.659999,15.98
30.679998,16.02
31.169999,16.549999
30.64,15.85
31.279998,16.02
30.299999,15.68
29.559999,15.45
29.919998,15.45
30.569998,15.1
30.659999,15.22
29.959999,15.2
29.859999,15.16
29.759999,15.2
28.659998,14.81
28.47,14.78
28.83,14.7
28.82,14.99
29.78,15.35
29.349999,15.23
29.249999,15.08
28.349999,14.89
28.709998,14.88
28.959998,14.95
30.859999,14.89
32.269999,15.04
32.739998,15.45
32.639998,15.49
32.919999,15.72
33.329999,15.81
33.419999,15.61
32.91,15.05
32.259999,14.86
32.379998,14.91
32.189998,14.63
32.809999,14.69
32.7,14.42
33.76,14.59
33.169999,13.48
33.439998,13.59
33.499998,13.98
33.799997999999995,13.69
34.419999,13.94
33.36,13.59
33.35,13.5
32.75,13.1
33.019999,13.1
31.75,12.76
32.25,13.02
30.04,12.0
29.299999,11.74
26.949998,11.09
30.159999,12.09
29.149999,11.77
30.199999,12.86
30.529998,13.59
30.89,13.47
30.359999,13.48
30.249999,13.47
27.939999,12.96
27.16,12.92
27.36,12.84
28.92,13.35
29.049999,13.15
28.33,12.87
29.459999,12.74
30.49,13.68
30.949999,13.84
30.869999,13.61
30.39,13.35
29.409999,12.87
29.269998,12.91
29.749999,13.61
30.509999,14.44
28.459998,14.48
29.419998,14.26
29.399999,14.26
30.14,14.55
32.039998,14.89
33.689998,14.97
33.1,14.61
32.729999,14.36
32.239998,13.96
31.669999,13.99
32.079998,14.71
32.55,14.75
32.519999,14.54
31.64,14.19
30.669998,13.42
29.489999,13.17
28.109998,13.53
29.349999,14.46
30.529998,15.92
31.44,15.65
31.069999,15.47
32.3,15.84
32.829999,15.86
32.75,15.77
32.739998,15.93
33.689998,15.91
33.219999,15.7
33.869999,15.47
33.179999,15.94
32.15,16.18
32.119999,16.120001000000002
32.369999,16.709999
31.669999,16.24
31.079998,16.299999
32.289998,16.629998999999998
33.25,16.559998999999998
31.829998,15.64
30.89,14.93
31.779998,15.1
33.05,15.48
32.709999,15.24
32.469999,15.69
32.919999,15.97
31.179998,15.92
30.749999,15.95
31.759999,16.27
31.409999,16.0
31.45,15.93
30.54,15.72
29.649999,15.34
29.809999,15.38
28.749999,14.99
29.039999,14.97
28.549999,14.94
28.23,15.1
29.659999,15.35
28.749999,15.7
29.59,15.71
29.68,16.23
29.599999,16.049999
30.699999,15.89
30.899999,15.84
30.94,15.62
31.029998,15.61
31.64,15.94
31.129998,15.47
30.84,15.42
30.269998,15.02
29.599999,15.16
30.399999,14.96
29.769998,14.62
30.629998,15.11
30.34,15.99
30.609999,16.0
30.84,16.190001000000002
30.919999,16.09
30.409999,15.78
30.359999,16.129998999999998
30.33,16.129998999999998
31.34,16.290001
30.159999,15.78
30.709999,15.64
30.629998,15.52
30.509999,15.46
31.2,15.51
31.519999,15.53
31.579998,15.66
30.619998,15.48
30.529998,15.43
30.34,15.92
31.509999,16.120001000000002
31.929998,15.96
31.989998,15.68
31.95,15.69
31.939998,15.56
31.709999,15.53
31.85,15.74
31.579998,15.55
31.6,15.47
32.2,15.73
32.7,15.72
32.95,15.92
32.639998,15.82
32.869999,15.83
33.05,15.78
33.26,16.0
33.029999,16.139999
33.16,16.120001000000002
32.96,15.37
33.31,15.12
34.51,15.36
35.059998,15.01
35.139999,14.75
34.67,14.5
36.02,14.78
36.359998,14.89
36.559998,14.86
36.619998,14.9
35.739999,14.83
36.37,14.93
36.249999,14.72
35.72,14.62
35.109998,14.42
35.589999,14.62
35.779999,14.62
36.249999,14.63
36.18,14.49
37.33,14.55
37.619998,14.63
36.83,14.89
37.689999,15.18
37.79,15.15
37.389999,15.41
37.419998,15.51
37.619998,15.49
37.089999,15.39
38.079998,15.54
37.869998,15.43
37.239999,15.32
36.989999,15.3
36.899999,15.22
36.589999,15.46
36.63,15.18
35.729999,15.27
35.62,15.07
36.299999,15.1
35.47,14.99
35.759998,14.88
36.459998,15.06
36.12,14.87
35.499998,14.79
36.079999,15.01
35.87,15.49
40.619997,15.4
40.29,15.6
39.649997,15.33
39.299997,15.43
39.859999,15.5
41.049998,15.53
41.229999,15.57
41.019997,15.54
40.749998,15.63
41.16,15.67
40.379998,15.4
39.44,15.15
40.070001,15.35
40.19,15.36
40.559999,15.3
41.21,15.44
40.74,15.19
40.249997,15.5
40.049997,15.4
39.859999,15.28
39.029998,14.87
38.359999,15.42
39.509999,15.58
39.220001,15.29
39.679998,15.38
39.659999,15.35
40.349997,15.36
41.490001,15.47
39.59,15.25
39.19,15.24
38.820001,14.92
